RT (min),Intensity_mz_695.3790,Intensity_mz_678.3508,Intensity_mz_700.3328
4.5290636,0,0,0
4.5377885,0,0,0
4.5465134,0,0,0
4.5552363,0,57784.53906,45737.06641
4.5639613,0,0,47586.10547
4.5726862,0,0,0
4.5814112,0,0,0
4.590134,0,0,45812.60156
4.5988589,0,58206.21875,0
4.6075839,0,84488.03125,81408.14844
4.6163089,0,0,0
4.6250317,77154.40625,0,0
4.6337566,0,0,0
4.6424816,0,0,0
4.6512045,0,0,0
4.6599294,52437.00781,0,50263.83984
4.6686543,0,61991.41797,0
4.6773793,0,0,79538.19531
4.6861022,0,0,0
4.6948271,0,0,0
4.703552,53237.26172,0,0
4.712277,36643.16797,0,0
4.7209999,0,0,0
4.7297248,0,0,0
4.7384497,0,0,0
4.7471747,67940.23438,0,0
4.7558976,195205.7344,0,0
4.7646225,99262.10938,44578.83594,0
4.7733475,124518.7656,0,0
4.7820703,64088.70313,0,0
4.7907952,0,0,51615.52734
4.7995202,67926.13281,0,0
4.8082451,46781.44141,0,0
4.816968,45914.76563,39915.28516,0
4.8256929,49019.53125,45879.92969,0
4.8344179,0,0,0
4.8431408,0,0,0
4.8518657,0,0,0
4.8605906,0,0,0
4.8693156,0,0,0
4.8780384,0,0,0
4.8867634,0,118132.0625,0
4.8954883,0,69555.27344,52460.76953
4.9042132,64630.92578,0,0
4.9129361,0,0,0
4.9216611,33138.94922,0,36812.09766
4.9303861,0,0,0
4.939111,0,35033.01563,0
4.9478338,52327.83203,90205.05469,48974.60547
4.9565588,0,0,0
4.9652837,0,29406.64453,0
4.9740066,0,0,0
4.9827315,0,0,0
4.9914564,0,0,0
5.0001814,66351.54688,43959.77734,0
5.0089043,0,0,0
5.0176293,0,0,0
5.0263541,0,0,70593.125
5.0350791,0,0,0
5.043802,0,0,0
5.0525269,0,0,0
5.0612518,0,43529.33984,0
5.0699747,0,52703.84766,0
5.0786996,41144.11719,0,0
5.0874246,0,0,131957.2344
5.0961495,0,0,0
5.1048724,0,81727.35156,0
5.1135973,0,0,0
5.1223223,0,0,0
5.1310472,0,0,0
5.1397701,0,0,0
5.148495,0,0,0
5.15722,0,0,76534.72656
5.1659428,28335.14453,0,0
5.1746678,0,41642.92188,76150.75781
5.1833927,48836.63281,0,57528.21094
5.1921177,94115.76563,0,0
5.2008405,0,0,42099.29297
5.2095655,196337.0156,0,0
5.2182904,180036.2656,0,27965.63867
5.2270154,0,0,31115.02734
5.2357382,33581.32813,0,0
5.2444633,31293.94336,0,29869.88086
5.2531882,65156.80469,0,0
5.2619131,0,0,0
5.2706359,36465.95703,0,0
5.2793609,0,0,0
5.2880858,0,0,0
5.2968087,63841.23047,0,0
5.3055336,0,0,0
5.3142586,78948.4375,0,0
5.3229835,0,0,0
5.3317064,43895.17969,0,0
5.3404313,32024.07813,0,0
5.3491566,77642.09375,19747.95703,0
5.3578812,54263.74219,0,0
5.3666041,0,0,0
5.375329,38389.89063,0,0
5.384054,0,74070.77344,0
5.3927768,0,0,0
5.4015018,81267.70313,0,0
5.4102267,40164.45313,0,0
5.418952,59073.75,0,36459.77344
5.4276745,0,0,0
5.4363995,57206.99609,43029.50781,0
5.4451244,39706.61328,0,0
5.4538494,0,30415.84766,36869.125
5.4625722,0,0,0
5.4712972,0,29514.85742,0
5.4800221,0,23461.52539,22605.875
5.488745,249015.625,37498.83984,0
5.4974699,87012.82031,0,34156.73438
5.5061949,0,0,0
5.5149198,47911.03906,0,0
5.5236427,0,24007.4082,0
5.5323676,0,0,0
5.5410926,109942.3203,0,0
5.5498175,0,0,0
5.5585404,0,0,0
5.5672653,0,0,0
5.5759903,60089.93359,0,27964.72461
5.5847152,0,0,0
5.5934381,33174,0,0
5.602163,36084.29688,0,35809.98828
5.610888,31514.08203,0,76369.82813
5.6196109,19492.48047,0,49721.83594
5.6283358,0,0,26366.42188
5.6370607,0,0,21664.97363
5.6457857,0,0,0
5.6545085,0,0,46962.97266
5.6632335,0,0,0
5.6719584,0,0,0
5.6806834,0,0,0
5.6894062,0,0,0
5.6981312,0,0,0
5.7068561,0,0,0
5.715579,0,43369.41797,0
5.7243039,49529.51953,0,0
5.7330289,34507.38672,0,0
5.7417538,49481.46484,0,0
5.7504767,44610.19141,0,0
5.7592016,0,0,0
5.7679266,65049.60547,0,0
5.7766515,0,0,0
5.7853744,0,0,0
5.7940993,0,33465.91797,0
5.8028243,54312.43359,0,0
5.8115471,0,0,0
5.8202721,33822.63672,0,0
5.828997,23675.25,18700.88867,0
5.837722,23400.13086,23277.625,0
5.8464448,0,0,0
5.8551698,19351.63086,71565.34375,13133.10449
5.8638947,0,57080.08984,0
5.8726197,19473.41797,39144.63672,21552.36719
5.8813425,29258.49023,35119.73047,0
5.8900675,34726.66797,0,0
5.8987924,0,0,0
5.9075174,0,0,0
5.9162402,0,0,0
5.9249652,0,0,0
5.9336901,0,0,0
5.942413,31194.79883,0,0
5.9511379,0,0,0
5.9598629,24501.07422,0,0
5.9685878,0,0,0
5.9773107,42792.33203,0,0
5.9860356,0,0,0
5.9947606,0,0,0
6.0034834,0,0,0
6.0122084,0,0,0
6.0209333,0,0,0
6.0296583,0,0,0
6.0383811,0,0,0
6.0471061,0,0,0
6.055831,0,0,0
6.064556,18126.61523,0,0
6.0732788,15787.42578,0,0
6.0820038,38338.85938,0,0
6.0907287,27332.19336,0,0
6.0994537,0,0,0
6.1081765,35843.44531,0,0
6.1169015,57010.41016,0,0
6.1256264,52025.80469,0,0
6.1343493,39643.41016,0,0
6.1430742,26965.82617,0,0
6.1517992,40852.30078,0,0
6.1605241,16331.2959,0,0
6.169247,24080.01563,0,0
6.1779719,0,0,0
6.1866969,0,0,0
6.1954218,27922.91992,0,0
6.2041447,0,0,0
6.2128696,0,0,0
6.2215945,39770.08203,0,0
6.2303174,0,0,0
6.2390424,0,0,0
6.2477673,0,0,0
6.2564923,27294.95508,0,0
6.2652151,23728.55664,0,0
6.2739401,0,0,0
6.282665,0,0,0
6.29139,0,0,0
6.3001128,0,0,0
6.3088377,0,0,0
6.3175627,0,0,0
6.3262856,0,0,0
6.3350105,0,0,0
6.3437355,0,0,0
6.3524604,0,0,0
6.3611833,0,0,0
6.3699082,0,0,0
6.3786332,0,0,0
6.3873581,0,0,0
6.3960809,0,0,0
6.4048059,0,0,0
6.4135308,0,0,0
6.4222537,0,0,0
6.4309786,0,0,0
6.4397036,0,0,0
6.4484286,0,0,0
6.4571514,0,0,0
6.4658763,0,0,0
6.4746013,0,0,0
6.4833263,0,0,0
6.4920491,0,0,0
6.5007743,0,0,0
6.509499,0,0,0
6.5182218,0,0,0
6.5269468,0,0,0
6.5356717,0,0,0
6.5443967,0,0,0
6.5531196,0,0,0
6.5618445,0,0,0
6.5705694,0,0,0
6.5792944,0,0,0
6.5880173,0,0,0
