SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MO_C6_B3_Hypo2_1,MO_C6_B3,2,6,B3,TRUE,2,1,Mother
MO_C6_B21_Hypo2_1,MO_C6_B21,2,6,B21,TRUE,2,1,Mother
MO_C6_B21_Hypo1_1,MO_C6_B21,3,6,B21,TRUE,1,1,Mother
MO_C6_B2_Hypo1_1,MO_C6_B2,3,6,B2,TRUE,1,1,Mother
MO_C6_B2_Hypo2_1,MO_C6_B2,2,6,B2,TRUE,2,1,Mother
MO_C6_B14_Hypo1_1,MO_C6_B14,3,6,B14,TRUE,1,1,Mother
MO_C6_B14_Hypo2_1,MO_C6_B14,2,6,B14,TRUE,2,1,Mother
MO_C6_B1_Hypo2_1,MO_C6_B1,2,6,B1,TRUE,2,1,Mother
MO_C6_B1_Hypo1_1,MO_C6_B1,1,6,B1,TRUE,1,1,Mother
MOI_C7_D7_Hypo2_1,NA,NA,7,B7,TRUE,2,1,Infant
MO_C7_D21_Hypo3_2,NA,NA,7,B21,TRUE,3,2,Mother
MOI_C7_D21_Hypo3_2,NA,NA,7,B21,TRUE,3,2,Infant
MOI_C7_D21_Hypo2_1,NA,NA,7,B21,TRUE,2,1,Infant
MOI_C7_D21_Hypo1_2,MOI_C7_D21,7,7,B21,FALSE,1,2,Infant
MOI_C7_D14_Hypo1_2,MOI_C7_D14,7,7,B14,FALSE,1,2,Infant
MOI_C7_D10_Hypo3_2,MOI_C7_D10,6,7,B10,FALSE,3,2,Infant
MOI_C7_B7_Hypo1_1,MOI_C7_B7,3,7,B7,TRUE,1,1,Infant
MOI_C7_B21_Hypo1_1,MOI_C7_B21,3,7,B21,TRUE,1,1,Infant
MOI_C7_B14_Hypo1_1,MOI_C7_B14,3,7,B14,TRUE,1,1,Infant
MO_C7_G18_Hypo1_2,MO_C7_G18,7,7,E18,FALSE,1,2,Mother
MO_C7_G16_Hypo1_2,MO_C7_G16,7,7,E16,FALSE,1,2,Mother
MO_C7_E18_Hypo1_1,MO_C7_E18,1,7,E18,TRUE,1,1,Mother
MO_C7_E17_Hypo1_1,MO_C7_E17,1,7,E17,TRUE,1,1,Mother
MO_C7_E16_Hypo1_1,MO_C7_E16,1,7,E16,TRUE,1,1,Mother
MO_C7_D21_Hypo1_2,MO_C7_D21,7,7,B21,FALSE,1,2,Mother
MO_C7_D14_Hypo1_2,MO_C7_D14,7,7,B14,FALSE,1,2,Mother
MO_C7_D10_Hypo3_2,MO_C7_D10,6,7,B10,FALSE,3,2,Mother
MO_C7_D1_Hypo3_2,MO_C7_D1,6,7,B1,FALSE,3,2,Mother
MO_C7_D1_Hypo1_2,MO_C7_D1,7,7,B1,FALSE,1,2,Mother
MO_C7_B7_Hypo1_1,MO_C7_B7,3,7,B7,TRUE,1,1,Mother
MO_C7_B7_Hypo2_1,MO_C7_B7,2,7,B7,TRUE,2,1,Mother
MO_C7_B3_Hypo2_1,MO_C7_B3,2,7,B3,TRUE,2,1,Mother
MO_C7_B21_Hypo2_1,MO_C7_B21,2,7,B21,TRUE,2,1,Mother
MO_C7_B21_Hypo1_1,MO_C7_B21,3,7,B21,TRUE,1,1,Mother
MO_C7_B2_Hypo2_1,MO_C7_B2,2,7,B2,TRUE,2,1,Mother
MO_C7_B2_Hypo1_1,MO_C7_B2,3,7,B2,TRUE,1,1,Mother
MO_C7_B14_Hypo1_1,MO_C7_B14,3,7,B14,TRUE,1,1,Mother
MO_C7_B1_Hypo2_1,MO_C7_B1,2,7,B1,TRUE,2,1,Mother
MO_C7_B1_Hypo1_1,MO_C7_B1,1,7,B1,TRUE,1,1,Mother
MO_C8_D21_Hypo3_2,NA,NA,8,B21,TRUE,3,2,Mother
MOI_C8_D21_Hypo3_2,NA,NA,8,B21,TRUE,3,2,Infant
MOI_C8_D10_Hypo3_2,MOI_C8_D10,6,8,B10,FALSE,3,2,Infant
MOI_C8_B7_Hypo1_1,MOI_C8_B7,3,8,B7,TRUE,1,1,Infant
MOI_C8_B21_Hypo1_1,MOI_C8_B21,3,8,B21,TRUE,1,1,Infant
MOI_C8_B14_Hypo1_1,MOI_C8_B14,3,8,B14,TRUE,1,1,Infant
MO_C8_E18_Hypo1_1,MO_C8_E18,1,8,E18,TRUE,1,1,Mother
MO_C8_E17_Hypo1_1,MO_C8_E17,1,8,E17,TRUE,1,1,Mother
MO_C8_E16_Hypo1_1,MO_C8_E16,1,8,E16,TRUE,1,1,Mother
MO_C8_D10_Hypo3_2,MO_C8_D10,6,8,B10,FALSE,3,2,Mother
MO_C8_D1_Hypo3_2,MO_C8_D1,6,8,B1,FALSE,3,2,Mother
MO_C8_B7_Hypo1_1,MO_C8_B7,3,8,B7,TRUE,1,1,Mother
MO_C8_B2_Hypo1_1,MO_C8_B2,3,8,B2,TRUE,1,1,Mother
MO_C8_B14_Hypo1_1,MO_C8_B14,3,8,B14,TRUE,1,1,Mother
MO_C8_B1_Hypo1_1,MO_C8_B1,1,8,B1,TRUE,1,1,Mother
MO_C9_B7_Hypo1_1,NA,NA,9,B7,TRUE,1,1,Mother
MO_C9_E16_Hypo1_1,MO_C9_E16,1,9,E16,TRUE,1,1,Mother
MO_C9_B21_Hypo1_1,MO_C9_B21,3,9,B23,TRUE,1,1,Mother
MO_C9_B2_Hypo1_1,MO_C9_B2,1,9,B2,TRUE,1,1,Mother
MO_C9_B14_Hypo1_1,MO_C9_B14,3,9,B16,TRUE,1,1,Mother
MO_C9_B1_Hypo1_1,MO_C9_B1,1,9,B1,TRUE,1,1,Mother
MOI_C10_D14_Hypo2_1,NA,NA,10,B14,FALSE,2,1,Infant
MOI_C10_D21_Hypo2_1,NA,NA,10,B21,FALSE,2,1,Infant
MOI_C10_D7_Hypo2_1,NA,NA,10,B7,FALSE,2,1,Infant
MOI_C10_B7_Hypo1_1,MOI_C10_B7,3,10,B7,TRUE,1,1,Infant
MOI_C10_B21_Hypo1_1,MOI_C10_B21,3,10,B21,TRUE,1,1,Infant
MOI_C10_B14_Hypo1_1,MOI_C10_B14,3,10,B14,TRUE,1,1,Infant
MO_C10_E18_Hypo1_1,MO_C10_E18,1,10,E18,TRUE,1,1,Mother
MO_C10_E17_Hypo1_1,MO_C10_E17,1,10,E18,TRUE,1,1,Mother
